"grids","WE","sd_ALT","sd_MAP","sd_MAT","sd_NPP","lon","lat"
"v15305",1392.18417220359,682.658744455182,165.308323772236,2.63380866125764,64461574843.0372,-9687952.2299,2197669.6737
"v15309",1589.20310300773,825.550773743394,746.983686872824,4.09303249656662,74257741963.4968,-9287952.2299,2197669.6737
"v15310",1330.14153971685,134.19061913191,404.292070843089,0.46825943066348,82156181389.0899,-9187952.2299,2197669.6737
"v15312",1649.02965840013,445.918214316319,619.840601409629,2.21897999708914,80546105481.7678,-8987952.2299,2197669.6737
"v15313",1429.82075120845,395.954709253835,349.481045049836,2.17549344624931,69015097455.5763,-8887952.2299,2197669.6737
"v1548",1248.3556344299,24.1352813373165,62.4772212583728,0.164469696228734,105251821544.214,-5687952.2299,-402330.326300001
"v15554",1244.62749958409,381.684594079546,290.955798761727,2.11365813146874,107806600461.671,-9287952.2299,2097669.6737
"v15555",2356.43913063644,330.749018018268,551.395485948409,1.60814502794627,168806808834.993,-9187952.2299,2097669.6737
"v15556",2109.29733555266,381.694222778969,427.397877248433,2.11512998445032,129046472820.674,-9087952.2299,2097669.6737
"v15557",1976.33885872029,392.936848205678,239.188992107396,2.33438428459539,88350909394.8407,-8987952.2299,2097669.6737
"v15558",1672.46908962141,477.875147658003,393.927453950108,2.38300118016773,102118722130.53,-8887952.2299,2097669.6737
"v15559",1284.54917332534,290.689737007477,327.766235374211,1.47603217130782,16446116361.2534,-8787952.2299,2097669.6737
"v1585",2427.16596358866,362.235706678321,117.502133154266,1.90959278646426,137180537422.08,2712047.7701,-402330.326300001
"v1586",3223.03146447199,667.308373979838,331.580875775731,3.78738217416459,51570191959.1072,2812047.7701,-402330.326300001
"v1587",1246.44552835617,120.567629145547,78.8564606500033,0.70780060846552,31286674400.3607,2912047.7701,-402330.326300001
"v15899",1621.63964878878,471.580483499501,402.936121524009,2.63294172446522,131242211271.274,-8987952.2299,1997669.6737
"v15901",1525.93290589185,534.017015916868,383.728497695433,3.12188084930739,94090466529.5675,-8887952.2299,1997669.6737
"v15903",1633.25448253379,907.795058228472,772.346882655623,4.9397805572126,138075487907.374,-8787952.2299,1997669.6737
"v15905",1611.49972962083,335.615257177861,350.342926073594,1.91889034460294,32317779929.0906,-8687952.2299,1997669.6737
"v15909",1220.15624190611,283.130529306178,402.392673809586,1.55768688534945,340378893716.664,-8487952.2299,1997669.6737
"v15911",1319.56462303721,418.320328834741,475.752730533475,2.23689705362353,380743339454.31,-8387952.2299,1997669.6737
"v1593",1494.64070391827,363.149953022159,167.296258352839,2.642227866344,161079898541.773,3512047.7701,-402330.326300001
"v1594",1535.00152719857,763.052103250267,295.441059645744,4.41898379982252,117425370459.919,3612047.7701,-402330.326300001
"v1595",2024.16442679944,268.007486990009,122.270839062425,1.53496300300744,71553715774.1802,3712047.7701,-402330.326300001
"v1596",1359.56832770503,76.6279271889153,64.0671603195086,0.456516405723681,136133127071.014,3812047.7701,-402330.326300001
"v1622",1292.64998270268,151.246593053601,234.809181849587,0.832479310401369,264483354257.016,12312047.7701,-402330.326300001
"v16276",1294.08397093767,191.70455149373,230.416252995805,0.821556105107374,230888225741.905,-8987952.2299,1897669.6737
"v16278",1639.10528610328,1007.86271938972,752.516467723548,5.68087923913774,102201571099.217,-8887952.2299,1897669.6737
"v16280",1457.72526865076,454.741213260525,488.887254332329,2.57442494263228,92503595457.0928,-8787952.2299,1897669.6737
"v16282",1930.29137292463,488.082657929928,584.49297030433,2.92702389714655,99741144862.8306,-8687952.2299,1897669.6737
"v16284",1969.89492593336,359.772537986764,316.79162271437,1.97381094855149,95168316512.6711,-8587952.2299,1897669.6737
"v16286",1617.80408658149,337.700398512196,212.895330574623,1.86380255776103,90390350280.5698,-8487952.2299,1897669.6737
"v1630",1820.03435610617,543.926609165975,52.2133013209712,2.99754520068213,245312553160.402,13112047.7701,-402330.326300001
"v1631",1679.42206282129,517.754935900478,68.6962452960133,2.78151330781626,181334978934.524,13212047.7701,-402330.326300001
"v1632",1909.724204168,497.130654904346,101.508381450233,2.54255111490217,153243242493.536,13312047.7701,-402330.326300001
"v1633",1709.57017517881,460.726397290946,116.929988696306,2.51291468544471,148671310331.58,13412047.7701,-402330.326300001
"v1646",1661.16856064523,246.87816695826,136.214830757483,1.07625535268241,85443228168.5248,-7787952.2299,-502330.326300001
"v1647",6473.04238599482,796.362300737381,149.72021846889,3.71571065633268,65811278710.059,-7687952.2299,-502330.326300001
"v1648",7631.79667487704,599.937287951351,354.020216015908,3.55603109660092,172631834279.13,-7587952.2299,-502330.326300001
"v1652",1253.90672764857,11.4261128272311,118.608127859331,0.149410044918408,2546092845.75158,-7187952.2299,-502330.326300001
"v1653",2168.56656532908,17.9988773141591,120.562554819336,0.0936295728610261,1909816813.05358,-7087952.2299,-502330.326300001
"v16542",1452.29949597216,374.566707656996,248.150175189834,1.90562531890571,86177621638.1077,10412047.7701,1897669.6737
"v16679",1484.20476150115,607.263554436681,654.805246018623,3.47880309917917,180740771393.093,-8787952.2299,1797669.6737
"v16681",1402.39557005229,496.221959664023,248.304317325558,2.7850639766665,76165473630.3032,-8687952.2299,1797669.6737
"v16689",1423.52621314573,196.23169075198,267.094637623169,1.03508648978884,43849311312.1014,-8287952.2299,1797669.6737
"v1706",2344.57884127328,378.77387273874,98.2458660086077,2.10872681362008,147348695148.942,2712047.7701,-502330.326300001
"v1707",2870.07248037346,615.369299518476,254.994559131301,3.27030612328812,239959466613.835,2812047.7701,-502330.326300001
"v1708",1335.28950442027,255.993677442991,79.1755986008734,1.6504254311282,58951087681.8976,2912047.7701,-502330.326300001
"v17124",1502.47499477936,232.36997057472,291.099688947619,1.29160017429315,63210584846.805,-8287952.2299,1697669.6737
"v1715",1531.92857351147,233.191434616952,110.836909085576,1.33983610344903,88217189558.8562,3612047.7701,-502330.326300001
"v1716",1739.87693245124,180.42886288165,42.001999850008,0.857354206118748,47609301719.6899,3712047.7701,-502330.326300001
"v1741",1522.21902308996,257.538390575618,128.181016334758,1.27775463254162,261682463798.788,13012047.7701,-502330.326300001
"v17416",1262.68732322084,326.697049978299,263.714497218777,1.60962929186477,269625827870.861,11712047.7701,1697669.6737
"v1742",2092.68624186035,711.529270786717,62.9926631898428,4.02127350474919,233926615470.202,13112047.7701,-502330.326300001
"v1743",2485.7861549645,962.472843597464,84.3498205518658,6.12717629009088,143766282828.687,13212047.7701,-502330.326300001
"v1744",1584.691989354,693.20905428584,147.731548762021,4.6654031652093,102019828496.285,13312047.7701,-502330.326300001
"v1745",2115.05153107409,894.492616015664,349.038620059189,6.03556804033614,193535475930.515,13412047.7701,-502330.326300001
"v1746",1946.11102039313,685.738326276591,277.994664313554,3.75222313468596,218506050094.988,13512047.7701,-502330.326300001
"v17470",1466.3548398876,252.174551413651,209.74809071178,1.66040601165071,86567868693.07,-8287952.2299,1597669.6737
"v17564",1351.41808048756,242.344015591646,169.379297844473,1.5197952365249,97914060090.9709,10412047.7701,1597669.6737
"v17565",1262.21599174147,336.7368611354,110.182319070376,1.98245382621649,317499087136.299,10512047.7701,1597669.6737
"v1759",5532.78974180148,869.815699664704,297.667449844069,3.96570447600016,132417599617.833,-7687952.2299,-602330.326300001
"v1760",7976.56070599056,564.446932406737,338.654432535735,2.91788823303571,133196728005.994,-7587952.2299,-602330.326300001
"v1761",1681.6475639858,247.98063534382,111.008366354684,1.18519096819005,12629440104.2484,-7487952.2299,-602330.326300001
"v17667",1414.34180512974,276.988598636461,281.608817871723,1.44704316708446,97601349529.9964,10412047.7701,1497669.6737
